Frequency (MHz),CISPR11_CE_CLASS_B_Group_1_AVG,CISPR11_CE_CLASS_A_Group_1_AVG
0.15,74,106
0.154499548,73.75451376,105.9157126
0.158999096,73.51607528,105.833845
0.163498643,73.28429115,105.7542622
0.167998191,73.05880002,105.67684
0.172497739,72.83926918,105.6014643
0.176997287,72.62539163,105.5280297
0.181496834,72.41688352,105.4564387
0.185996382,72.21348183,105.3866009
0.19049593,72.01494241,105.3184327
0.194995478,71.82103821,105.2518559
0.199495026,71.63155773,105.1867979
0.203994573,71.44630363,105.1231912
0.208494121,71.26509146,105.0609722
0.212993669,71.0877486,105.0000817
0.217493217,70.91411328,104.9404642
0.221992765,70.74403364,104.8820675
0.226492312,70.57736697,104.8248427
0.23099186,70.41397898,104.7687436
0.235491408,70.25374317,104.7137268
0.239990956,70.0965402,104.6597514
0.244490503,69.9422574,104.6067785
0.248990051,69.79078826,104.5547718
0.253489599,69.64203197,104.5036965
0.257989147,69.49589308,104.4535198
0.262488695,69.35228107,104.4042108
0.266988242,69.21111004,104.3557399
0.27148779,69.07229839,104.3080791
0.275987338,68.93576855,104.2612017
0.280486886,68.80144672,104.2150824
0.284986434,68.66926262,104.1696972
0.289485981,68.53914926,104.1250229
0.293985529,68.41104277,104.0810377
0.298485077,68.28488217,104.0377206
0.302984625,68.16060924,103.9950516
0.307484172,68.03816832,103.9530116
0.31198372,67.91750618,103.9115824
0.316483268,67.79857188,103.8707465
0.320982816,67.68131663,103.830487
0.325482364,67.56569367,103.790788
0.329981911,67.45165819,103.751634
0.334481459,67.33916719,103.7130104
0.338981007,67.22817939,103.6749028
0.343480555,67.11865514,103.6372978
0.347980103,67.01055635,103.6001822
0.35247965,66.90384638,103.5635434
0.356979198,66.79849001,103.5273695
0.361478746,66.69445333,103.4916486
0.365978294,66.59170367,103.4563696
0.370477841,66.49020959,103.4215217
0.374977389,66.38994078,103.3870945
0.379476937,66.29086799,103.353078
0.383976485,66.19296303,103.3194624
0.388476033,66.0961987,103.2862385
0.39297558,66.00054872,103.2533972
0.397475128,65.90598771,103.2209298
0.401974676,65.81249116,103.1888278
0.406474224,65.72003538,103.1570832
0.410973771,65.62859744,103.1256881
0.415473319,65.53815517,103.0946349
0.419972867,65.44868714,103.0639161
0.424472415,65.36017256,103.0335247
0.428971963,65.27259134,103.0034538
0.43347151,65.185924,102.9736967
0.437971058,65.10015166,102.9442468
0.442470606,65.01525602,102.915098
0.446970154,64.93121934,102.8862441
0.451469702,64.84802442,102.8576792
0.455969249,64.76565456,102.8293976
0.460468797,64.68409356,102.8013938
0.464968345,64.60332568,102.7736622
0.469467893,64.52333564,102.7461977
0.47396744,64.44410862,102.7189952
0.478466988,64.36563019,102.6920497
0.482966536,64.28788633,102.6653564
0.487466084,64.21086342,102.6389107
0.491965632,64.13454821,102.612708
0.496465179,64.05892782,102.5867438
0.500964727,64,102.5610139
0.505464275,64,102.535514
0.509963823,64,102.5102402
0.514463371,64,102.4851883
0.518962918,64,102.4603546
0.523462466,64,102.4357354
0.527962014,64,102.4113268
0.532461562,64,102.3871253
0.536961109,64,102.3631276
0.541460657,64,102.33933
0.545960205,64,102.3157295
0.550459753,64,102.2923226
0.554959301,64,102.2691063
0.559458848,64,102.2460774
0.563958396,64,102.2232331
0.568457944,64,102.2005703
0.572957492,64,102.1780861
0.577457039,64,102.1557778
0.581956587,64,102.1336427
0.586456135,64,102.1116781
0.590955683,64,102.0898814
0.595455231,64,102.06825
0.599954778,64,102.0467814
0.604454326,64,102.0254732
0.608953874,64,102.0043231
0.613453422,64,101.9833287
0.61795297,64,101.9624877
0.622452517,64,101.9417979
0.626952065,64,101.9212572
0.631451613,64,101.9008633
0.635951161,64,101.8806142
0.640450708,64,101.8605079
0.644950256,64,101.8405424
0.649449804,64,101.8207156
0.653949352,64,101.8010258
0.6584489,64,101.781471
0.662948447,64,101.7620493
0.667447995,64,101.7427591
0.671947543,64,101.7235984
0.676447091,64,101.7045656
0.680946639,64,101.685659
0.685446186,64,101.6668769
0.689945734,64,101.6482177
0.694445282,64,101.6296798
0.69894483,64,101.6112616
0.703444377,64,101.5929616
0.707943925,64,101.5747783
0.712443473,64,101.5567102
0.716943021,64,101.5387559
0.721442569,64,101.5209139
0.725942116,64,101.5031828
0.730441664,64,101.4855613
0.734941212,64,101.468048
0.73944076,64,101.4506416
0.743940308,64,101.4333408
0.748439855,64,101.4161443
0.752939403,64,101.3990509
0.757438951,64,101.3820593
0.761938499,64,101.3651684
0.766438046,64,101.3483769
0.770937594,64,101.3316837
0.775437142,64,101.3150877
0.77993669,64,101.2985877
0.784436238,64,101.2821826
0.788935785,64,101.2658713
0.793435333,64,101.2496528
0.797934881,64,101.233526
0.802434429,64,101.2174899
0.806933976,64,101.2015435
0.811433524,64,101.1856857
0.815933072,64,101.1699157
0.82043262,64,101.1542323
0.824932168,64,101.1386348
0.829431715,64,101.123122
0.833931263,64,101.1076933
0.838430811,64,101.0923475
0.842930359,64,101.0770839
0.847429907,64,101.0619015
0.851929454,64,101.0467995
0.856429002,64,101.0317771
0.86092855,64,101.0168334
0.865428098,64,101.0019676
0.869927645,64,100.9871789
0.874427193,64,100.9724665
0.878926741,64,100.9578296
0.883426289,64,100.9432674
0.887925837,64,100.9287792
0.892425384,64,100.9143643
0.896924932,64,100.9000218
0.90142448,64,100.8857511
0.905924028,64,100.8715515
0.910423576,64,100.8574222
0.914923123,64,100.8433626
0.919422671,64,100.829372
0.923922219,64,100.8154497
0.928421767,64,100.801595
0.932921314,64,100.7878072
0.937420862,64,100.7740859
0.94192041,64,100.7604302
0.946419958,64,100.7468396
0.950919506,64,100.7333135
0.955419053,64,100.7198512
0.959918601,64,100.7064522
0.964418149,64,100.6931158
0.968917697,64,100.6798415
0.973417244,64,100.6666287
0.977916792,64,100.6534769
0.98241634,64,100.6403854
0.986915888,64,100.6273537
0.991415436,64,100.6143814
0.995914983,64,100.6014677
1.000414531,64,100.5886123
1.004914079,64,100.5758146
1.009413627,64,100.563074
1.013913175,64,100.5503901
1.018412722,64,100.5377624
1.02291227,64,100.5251903
1.027411818,64,100.5126734
1.031911366,64,100.5002113
1.036410913,64,100.4878033
1.040910461,64,100.4754491
1.045410009,64,100.4631482
1.049909557,64,100.4509001
1.054409105,64,100.4387044
1.058908652,64,100.4265606
1.0634082,64,100.4144683
1.067907748,64,100.4024271
1.072407296,64,100.3904365
1.076906844,64,100.3784961
1.081406391,64,100.3666055
1.085905939,64,100.3547643
1.090405487,64,100.342972
1.094905035,64,100.3312283
1.099404582,64,100.3195328
1.10390413,64,100.307885
1.108403678,64,100.2962846
1.112903226,64,100.2847312
1.117402774,64,100.2732244
1.121902321,64,100.2617638
1.126401869,64,100.2503492
1.130901417,64,100.23898
1.135400965,64,100.227656
1.139900513,64,100.2163768
1.14440006,64,100.205142
1.148899608,64,100.1939513
1.153399156,64,100.1828043
1.157898704,64,100.1717007
1.162398251,64,100.1606402
1.166897799,64,100.1496225
1.171397347,64,100.1386471
1.175896895,64,100.1277138
1.180396443,64,100.1168223
1.18489599,64,100.1059722
1.189395538,64,100.0951632
1.193895086,64,100.084395
1.198394634,64,100.0736674
1.202894181,64,100.0629799
1.207393729,64,100.0523324
1.211893277,64,100.0417245
1.216392825,64,100.0311558
1.220892373,64,100.0206262
1.22539192,64,100.0101354
1.229891468,64,99.99968295
1.234391016,64,99.98926871
1.238890564,64,99.97889235
1.243390112,64,99.96855362
1.247889659,64,99.95825223
1.252389207,64,99.94798791
1.256888755,64,99.93776041
1.261388303,64,99.92756946
1.26588785,64,99.91741479
1.270387398,64,99.90729616
1.274886946,64,99.8972133
1.279386494,64,99.88716596
1.283886042,64,99.8771539
1.288385589,64,99.86717687
1.292885137,64,99.85723462
1.297384685,64,99.84732691
1.301884233,64,99.8374535
1.306383781,64,99.82761416
1.310883328,64,99.81780865
1.315382876,64,99.80803674
1.319882424,64,99.79829819
1.324381972,64,99.78859279
1.328881519,64,99.77892031
1.333381067,64,99.76928053
1.337880615,64,99.75967322
1.342380163,64,99.75009816
1.346879711,64,99.74055515
1.351379258,64,99.73104397
1.355878806,64,99.7215644
1.360378354,64,99.71211623
1.364877902,64,99.70269927
1.36937745,64,99.6933133
1.373876997,64,99.68395812
1.378376545,64,99.67463353
1.382876093,64,99.66533933
1.387375641,64,99.65607532
1.391875188,64,99.64684131
1.396374736,64,99.6376371
1.400874284,64,99.6284625
1.405373832,64,99.61931732
1.40987338,64,99.61020137
1.414372927,64,99.60111448
1.418872475,64,99.59205644
1.423372023,64,99.58302708
1.427871571,64,99.57402623
1.432371118,64,99.56505369
1.436870666,64,99.55610929
1.441370214,64,99.54719286
1.445869762,64,99.53830422
1.45036931,64,99.5294432
1.454868857,64,99.52060962
1.459368405,64,99.51180333
1.463867953,64,99.50302414
1.468367501,64,99.4942719
1.472867049,64,99.48554644
1.477366596,64,99.47684759
1.481866144,64,99.46817519
1.486365692,64,99.45952909
1.49086524,64,99.45090912
1.495364787,64,99.44231513
1.499864335,64,99.43374696
1.504363883,64,99.42520445
1.508863431,64,99.41668746
1.513362979,64,99.40819583
1.517862526,64,99.39972941
1.522362074,64,99.39128804
1.526861622,64,99.3828716
