AllTrace,,,
EMI:FSCAN,,,
A.30.11,N9038B,,
508 DP2 LSN NFE P08 EDP EMC ,1,,
,,,
Preselector,Off,,
Scan Type,Smooth,,
Number of scans,1,,
Y Axis Unit,dBuV/m,,
Ref Level Offset,0 dB,,
Coupling,DC,,
Input Z Correction,50 ohm,,
,,,
Start Frequency, Stop Frequency, RBW, Scan Points
30000000,1000000000,120000,16168
,,,
DATA,,,
Trace,1,2,3
Detector,Peak,Peak,Peak
30000000,34.16117069,34.16117069,31.15348789
30059998.76,34.46704837,34.46704837,30.88839694
30119997.53,34.84216281,34.84216281,29.70218631
30179996.29,34.75215122,34.75215122,30.59731265
30239995.05,33.74755069,33.74755069,29.97683688
30299993.81,34.53945895,34.53945895,31.27700015
30359992.58,35.17589542,35.17589542,30.88125583
30419991.34,35.12377139,35.12377139,29.50167056
30479990.1,35.35256168,35.35256168,31.69551822
30539988.87,35.51209995,35.51209995,30.8463895
30599987.63,35.40509769,35.40509769,29.72550937
30659986.39,35.77891513,35.77891513,30.71993991
30719985.15,36.13051578,36.13051578,30.59856387
30779983.92,35.45647403,35.45647403,30.73720523
30839982.68,35.86294528,35.86294528,29.88285037
30899981.44,35.72721072,35.72721072,29.67002841
30959980.21,35.36673709,35.36673709,30.36394473
31019978.97,36.40949985,36.40949985,29.96427127
31079977.73,35.63486453,35.63486453,32.4847562
31139976.5,35.93550082,35.93550082,32.45092746
31199975.26,36.54580661,36.54580661,29.90589877
31259974.02,36.50674411,36.50674411,29.77276584
31319972.78,37.11051151,37.11051151,31.0075986
31379971.55,36.95125552,36.95125552,30.98030826
31439970.31,36.56072971,36.56072971,30.12725803
31499969.07,37.16058322,37.16058322,30.73625919
31559967.84,37.39328738,37.39328738,30.71287509
31619966.6,37.50448581,37.50448581,29.45611545
31679965.36,37.13617679,37.13617679,31.30241367
31739964.12,37.00042697,37.00042697,29.73076602
31799962.89,37.16912051,37.16912051,29.79231235
31859961.65,37.9192197,37.9192197,31.46092197
31919960.41,37.90237399,37.90237399,31.7145383
31979959.18,37.33415958,37.33415958,30.62631198
32039957.94,37.84034702,37.84034702,30.42957279
32099956.7,37.9762952,37.9762952,29.77375766
32159955.46,37.92280551,37.92280551,31.69316074
32219954.23,38.62972995,38.62972995,31.54037448
32279952.99,38.57492801,38.57492801,30.03006717
32339951.75,38.4469678,38.4469678,30.60894748
32399950.52,39.17087528,39.17087528,30.07202884
32459949.28,39.03244754,39.03244754,29.78727695
32519948.04,38.99463626,38.99463626,30.35700961
32579946.81,39.4624631,39.4624631,30.42764255
32639945.57,39.38021823,39.38021823,30.37806674
32699944.33,38.97003909,38.97003909,30.01753207
32759943.09,39.24188205,39.24188205,30.07771274
32819941.86,39.61693546,39.61693546,30.33386966
32879940.62,40.44667026,40.44667026,29.48076602
32939939.38,40.39449283,40.39449283,29.27310153
32999938.15,38.86459323,38.86459323,29.59590122
33059936.91,40.50892612,40.50892612,29.90362521
33119935.67,40.40770694,40.40770694,30.23748752
33179934.43,39.94848605,39.94848605,30.85095187
33239933.2,40.38556644,40.38556644,30.34600803
33299931.96,40.72072574,40.72072574,29.21652194
33359930.72,40.77107211,40.77107211,30.26637241
33419929.49,40.71819278,40.71819278,30.34154483
33479928.25,40.63656589,40.63656589,29.61447879
33539927.01,40.60590335,40.60590335,31.69781467
33599925.77,40.7777402,40.7777402,31.64101383
33659924.54,40.71833774,40.71833774,29.70016452
33719923.3,40.45248386,40.45248386,29.46436282
33779922.06,40.7301633,40.7301633,29.94194766
33839920.83,40.72823306,40.72823306,29.96615573
33899919.59,40.54339572,40.54339572,30.41499301
33959918.35,40.51142093,40.51142093,29.29334995
34019917.12,40.86422702,40.86422702,29.80163547
34079915.88,41.19096347,41.19096347,29.88273593
34139914.64,41.33608218,41.33608218,29.57187625
34199913.4,40.52349826,40.52349826,30.11418887
34259912.17,40.16037723,40.16037723,30.27499362
34319910.93,40.60861942,40.60861942,29.46763583
